part_number,part_name,description,category,subcategory,part_type,is_oem_part,manufacturer_name,unit_price,currency,minimum_stock,lead_time_days,weight_kg,dimensions,warranty_months,specifications
VENT-FILT-001,HEPA Filter H13,High-efficiency particulate air filter for ventilator breathing circuit,Filter,Air Filter,Consumable,true,Medtronic,450.00,INR,20,7,0.15,"10x10x2 cm",6,"{""efficiency"": ""99.97%"", ""particle_size"": ""0.3 microns"", ""flow_rate"": ""60 L/min""}"
VENT-SENS-002,Oxygen Sensor,Galvanic oxygen sensor for O2 monitoring,Sensor,Gas Sensor,Component,true,GE Healthcare,2500.00,INR,10,14,0.05,"5x3x2 cm",12,"{""range"": ""0-100%"", ""accuracy"": ""±2%"", ""response_time"": ""<15 sec""}"
VENT-VALV-003,Exhalation Valve,Adjustable PEEP valve assembly,Valve,Pressure Valve,Component,true,Philips,1800.00,INR,15,10,0.25,"8x6x4 cm",18,"{""peep_range"": ""0-20 cmH2O"", ""material"": ""silicone"", ""sterilizable"": true}"
VENT-CIRC-004,Patient Circuit Adult,Reusable breathing circuit for adult patients,Circuit,Breathing Circuit,Consumable,true,Smiths Medical,650.00,INR,30,5,0.40,"180 cm length",3,"{""patient_type"": ""adult"", ""inner_diameter"": ""22mm"", ""autoclavable"": true}"
VENT-BATT-005,Backup Battery Pack,Lithium-ion battery for emergency backup,Battery,Power Supply,Component,true,Siemens,4500.00,INR,5,21,1.20,"20x10x5 cm",24,"{""capacity"": ""2200mAh"", ""voltage"": ""14.4V"", ""runtime"": ""4 hours""}"
VENT-HUMI-006,Heated Humidifier,Active humidification system for patient comfort,Humidifier,Accessory,Accessory,true,Fisher & Paykel,8500.00,INR,8,14,1.50,"25x20x15 cm",12,"{""temperature_range"": ""31-41°C"", ""humidity_output"": ""44 mg/L"", ""chamber_capacity"": ""340ml""}"
VENT-TUBE-007,Corrugated Tubing Set,Flexible tubing for gas delivery,Tubing,Circuit Component,Consumable,false,Generic Medical,180.00,INR,50,3,0.15,"150 cm length",1,"{""inner_diameter"": ""22mm"", ""outer_diameter"": ""30mm"", ""material"": ""PVC""}"
VENT-MANI-008,Pressure Manifold,Multi-port pressure distribution manifold,Manifold,Gas Distribution,Component,true,Dräger,3200.00,INR,6,15,0.80,"12x8x6 cm",24,"{""ports"": 4, ""max_pressure"": ""100 psi"", ""material"": ""brass""}"
VENT-DISP-009,LCD Display Module,7-inch touchscreen display replacement,Display,Electronic Component,Component,true,Medtronic,12000.00,INR,3,30,0.60,"18x12x3 cm",12,"{""size"": ""7 inch"", ""resolution"": ""800x480"", ""touch"": ""capacitive""}"
VENT-CABL-010,Oxygen Supply Cable,High-pressure oxygen connection cable,Cable,Gas Connection,Component,true,Allied Healthcare,850.00,INR,12,7,0.30,"200 cm length",12,"{""pressure_rating"": ""2200 psi"", ""connector_type"": ""DISS"", ""material"": ""stainless steel braided""}"
VENT-ADAP-011,Y-Connector Adapter,Standard Y-piece for circuit branching,Adapter,Circuit Connector,Accessory,false,Generic Medical,120.00,INR,40,2,0.05,"8x6x2 cm",6,"{""port_size"": ""22mm"", ""material"": ""polycarbonate"", ""autoclavable"": true}"
VENT-MASK-012,Face Mask Adult,Non-rebreathing face mask with reservoir,Mask,Patient Interface,Consumable,false,Allied Healthcare,280.00,INR,50,5,0.08,"Standard adult",1,"{""oxygen_concentration"": ""60-90%"", ""reservoir_volume"": ""600ml"", ""size"": ""adult""}"
VENT-FILT-013,Bacterial Filter,Hydrophobic bacterial/viral filter,Filter,Infection Control,Consumable,true,Pall Medical,320.00,INR,25,7,0.10,"8x5x2 cm",3,"{""efficiency"": "">99.9999%"", ""dead_space"": ""55ml"", ""resistance"": ""<1.5 cmH2O""}"
VENT-SENS-014,Flow Sensor,Bidirectional flow measurement sensor,Sensor,Flow Sensor,Component,true,Sensirion,3800.00,INR,8,21,0.12,"6x4x3 cm",18,"{""range"": ""±300 L/min"", ""accuracy"": ""±3%"", ""response_time"": ""<10ms""}"
VENT-VALV-015,Safety Relief Valve,Overpressure protection valve,Valve,Safety Valve,Component,true,Parker Hannifin,1500.00,INR,10,10,0.20,"7x5x4 cm",24,"{""relief_pressure"": ""80 cmH2O"", ""flow_capacity"": ""100 L/min"", ""material"": ""brass""}"
